60,0.20000000298023224
64,0.20000000298023224
69,0.4000000059604645
74,0.3999999910593033
80,0.4000000059604645
86,0.5
92,0.6000000089406967
99,0.7000000029802322
106,0.7000000029802322
114,0.7999999970197678
123,1
132,1.1000000089406967
142,1.2999999970197678
152,1.5
163,1.8999999910593033
176,2.5
189,2.7000000029802322
203,3.199999988079071
218,3.6000000089406967
234,3.6000000089406967
251,4.5999999940395355
270,5.299999997019768
290,6.399999991059303
311,8
334,9.900000005960464
359,11.600000008940697
386,12.700000002980232
414,14.399999991059303
445,16.900000005960464
478,20.600000008940697
513,24.899999991059303
552,30.100000008940697
592,37.599999994039536
636,43.6000000089407
684,53.29999999701977
734,63.5
789,78.59999999403954
847,94
910,117.09999999403954
978,140.70000000298023
1050,172.5
1128,210.5
1212,260.40000000596046
1302,328.5
1398,391
1502,475.59999999403954
1614,577
1733,718
1862,881.1999999880791
2000,1070.3999999910593
