60,0.5
64,0.5
69,0.5999999940395355
74,0.699999988079071
80,0.800000011920929
86,0.9000000059604645
92,1
99,1.1000000089406967
106,1.2000000029802322
114,1.2999999970197678
123,1.4000000059604645
132,2.5
142,2.0999999940395355
152,3
163,2.7000000029802322
176,3
189,3.2999999970197678
203,3.7000000029802322
218,4.799999997019768
234,5.300000011920929
251,5.800000011920929
270,6.5999999940395355
290,7.299999997019768
311,8.099999994039536
334,10.600000008940697
359,13
386,13.299999997019768
414,14.599999994039536
445,17.100000008940697
478,18.700000002980232
513,21
552,31
592,37.599999994039536
636,36.599999994039536
684,40.79999999701977
734,46.3999999910593
789,52.900000005960464
847,62.400000005960464
910,85.3999999910593
978,98.20000000298023
1050,110.3999999910593
1128,128.40000000596046
1212,143.09999999403954
1302,165.5
1398,230.5
1502,261.79999999701977
1614,272.30000001192093
1733,328.1000000089407
1862,372.59999999403954
2000,404.20000000298023
